epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.613,1.3506,3.35843,1.24155,0.00333,1,0.88022,0.45213,0.87174,3.24727,0.85042,0.00034,0.00034,0.00034
2,18.9916,1.01285,1.58512,0.95413,0.00333,1,0.67561,0.47604,0.96666,3.121,0.91802,0.00069307,0.00069307,0.00069307
3,24.1411,0.98124,1.30369,0.96158,0.12456,0.85124,0.3537,0.24743,0.92532,3.05732,0.90901,0.00103901,0.00103901,0.00103901
4,29.2533,0.97303,1.1925,0.94958,0.99004,0.82177,0.95858,0.70207,0.93922,2.07092,0.89892,0.00137783,0.00137783,0.00137783
5,34.3655,0.98636,1.07979,0.95539,0.93109,0.93388,0.95358,0.69536,1.01632,1.3147,0.94708,0.00170951,0.00170951,0.00170951
6,39.4883,0.95518,0.97104,0.94249,0.65196,0.74312,0.71361,0.41073,1.16881,1.4872,1.0384,0.001901,0.001901,0.001901
7,44.6305,0.9837,0.91562,0.94508,0.90615,0.83471,0.91382,0.55016,1.26159,1.10902,1.1083,0.0018812,0.0018812,0.0018812
8,49.7427,0.93728,0.84046,0.94791,0.95412,0.90909,0.95295,0.66578,1.01696,0.78642,0.94549,0.0018614,0.0018614,0.0018614
9,54.8869,0.93444,0.77424,0.9374,0.94038,0.91253,0.9613,0.72277,0.93772,1.06958,0.91865,0.0018416,0.0018416,0.0018416
10,59.9633,0.93544,0.72673,0.933,0.9767,0.96694,0.99151,0.72278,0.96945,0.70259,0.93215,0.0018218,0.0018218,0.0018218
11,65.0648,0.91863,0.69665,0.94405,0.96035,0.95868,0.98586,0.74413,0.9552,0.63722,0.93673,0.001802,0.001802,0.001802
12,70.2381,0.90925,0.66849,0.92429,0.94416,0.97821,0.98121,0.66864,1.10572,0.6655,0.95358,0.0017822,0.0017822,0.0017822
13,75.5282,0.88367,0.64517,0.92295,0.95503,0.87764,0.96592,0.72901,0.93391,0.74735,0.9293,0.0017624,0.0017624,0.0017624
14,80.829,0.89568,0.64689,0.92789,0.9818,0.96694,0.98843,0.76398,0.87679,0.64493,0.9078,0.0017426,0.0017426,0.0017426
15,86.7237,0.88073,0.61221,0.91628,0.98061,0.97521,0.98821,0.70483,0.94608,0.5841,0.91507,0.0017228,0.0017228,0.0017228
16,92.8873,0.89025,0.614,0.93998,0.99171,0.9891,0.99475,0.74559,0.84567,0.54468,0.89113,0.001703,0.001703,0.001703
17,99.0197,0.85357,0.57647,0.91706,0.97176,0.98347,0.98635,0.71903,0.8728,0.57026,0.88939,0.0016832,0.0016832,0.0016832
18,106.418,0.85945,0.57711,0.91685,0.97632,0.97521,0.99247,0.76586,0.82133,0.51978,0.88813,0.0016634,0.0016634,0.0016634
19,112.993,0.81783,0.54444,0.91959,0.97371,0.97521,0.98581,0.75621,0.8487,0.52146,0.88599,0.0016436,0.0016436,0.0016436
20,119.428,0.84098,0.54888,0.92316,0.97535,0.98347,0.99408,0.75768,0.91098,0.49196,0.88998,0.0016238,0.0016238,0.0016238
21,125.349,0.81346,0.53888,0.90086,0.98974,0.98347,0.98695,0.7679,0.80051,0.5202,0.8758,0.001604,0.001604,0.001604
22,131.123,0.7985,0.51784,0.89509,0.98399,0.96694,0.99365,0.74284,0.94695,0.56217,0.8851,0.0015842,0.0015842,0.0015842
23,137.415,0.80971,0.51881,0.90344,0.96737,0.98347,0.99371,0.77728,0.77974,0.50619,0.884,0.0015644,0.0015644,0.0015644
24,144.706,0.83094,0.52282,0.90705,0.9868,0.97521,0.99396,0.77361,0.85851,0.52889,0.88232,0.0015446,0.0015446,0.0015446
25,151.407,0.79505,0.50531,0.90449,0.98319,0.96672,0.99103,0.77794,0.81121,0.5274,0.87798,0.0015248,0.0015248,0.0015248
26,157.657,0.79361,0.50731,0.91004,0.98356,0.9892,0.99426,0.74194,0.94232,0.55696,0.89353,0.001505,0.001505,0.001505
27,164.039,0.81061,0.51049,0.90089,0.98116,0.98347,0.99383,0.78764,0.84083,0.48654,0.87403,0.0014852,0.0014852,0.0014852
28,170.276,0.7922,0.49909,0.89324,0.98741,0.96694,0.99283,0.78736,0.84618,0.5002,0.87422,0.0014654,0.0014654,0.0014654
29,176.411,0.75587,0.49473,0.89116,0.98356,0.99174,0.99467,0.78108,0.74781,0.43464,0.86884,0.0014456,0.0014456,0.0014456
30,182.598,0.74535,0.47111,0.89282,0.9917,0.98747,0.99492,0.79587,0.74381,0.44139,0.85971,0.0014258,0.0014258,0.0014258
31,188.85,0.74173,0.47208,0.89077,0.9918,0.99978,0.99484,0.81668,0.78273,0.45404,0.85113,0.001406,0.001406,0.001406
32,195.148,0.75107,0.46744,0.88323,0.99009,0.99174,0.99492,0.80223,0.78242,0.42221,0.86526,0.0013862,0.0013862,0.0013862
33,201.401,0.73199,0.44398,0.87656,0.98819,0.97521,0.99434,0.80399,0.77803,0.4441,0.85717,0.0013664,0.0013664,0.0013664
34,208.427,0.72837,0.45498,0.8809,0.99851,0.97521,0.99381,0.79848,0.73718,0.41799,0.85389,0.0013466,0.0013466,0.0013466
35,215.823,0.75175,0.45853,0.8835,0.99899,0.98347,0.99484,0.81448,0.74684,0.44672,0.85431,0.0013268,0.0013268,0.0013268
36,222.6,0.7382,0.46008,0.88357,1,0.98121,0.99484,0.78393,0.81622,0.44925,0.85862,0.001307,0.001307,0.001307
37,229.37,0.72126,0.44237,0.87005,0.98866,0.99174,0.99467,0.79669,0.80008,0.44322,0.85864,0.0012872,0.0012872,0.0012872
38,236.048,0.71814,0.45227,0.87535,0.99456,0.95868,0.99096,0.78243,0.7856,0.4433,0.86258,0.0012674,0.0012674,0.0012674
39,242.738,0.71039,0.45015,0.86775,0.97558,0.9906,0.99418,0.78935,0.81122,0.45033,0.85757,0.0012476,0.0012476,0.0012476
40,249.274,0.72733,0.45295,0.8717,0.97536,0.98163,0.99326,0.81308,0.72483,0.42847,0.84289,0.0012278,0.0012278,0.0012278
41,255.865,0.72737,0.45303,0.86959,0.99852,0.97521,0.99467,0.81339,0.71551,0.4282,0.84672,0.001208,0.001208,0.001208
42,262.688,0.7623,0.45715,0.88559,0.97944,0.98347,0.99443,0.79843,0.82207,0.43453,0.86115,0.0011882,0.0011882,0.0011882
